metric	value
result_files_scanned	13634
result_files_with_mapped_id	12911
result_files_with_records	12911
raw_binding_site_records	77016
result_files_skipped_na_mapped_id	723
existing_detail_records_loaded	1717
id_mapping_entries_loaded	1406
deduplicated_by_library_mirna_target_site	42547
unique_miRNA_target_site_records	8301
unique_miRNA_target_pairs	8293
unique_target_genes	5496
records_with_genome_coordinates	8301
records_without_genome_coordinates	0
mapped_candidate_result_records	78733
records_with_multiple_candidate_coordinates	6
candidate_records_not_matching_CDS_sequence	0
candidate_records_missing_CDS_transcript	0
candidate_records_bad_CDS_coordinates	0
